Date,Open,High,Low,Close,Volume,OpenInt
2011-07-22,98.36,98.6,98.3,98.51,26562,10986
2011-07-25,98.57,98.63,98.3,98.3,21747,11344
2011-07-26,98.26,98.41,97.89,97.91,31375,10972
2011-07-27,98.02,98.1,97.74,97.84,28625,11594
2011-07-28,98.01,98.36,97.88,98.16,35896,13514
2011-07-29,98.2,98.4,98.1,98.12,32544,14303
2011-08-01,98.16,98.31,97.6,97.81,33203,14073
2011-08-02,97.96,98.07,97.85,98.03,26442,14537
2011-08-03,98.31,98.76,98.31,98.31,27871,15516
2011-08-04,98.47,98.9,98.38,98.81,31188,17367
2011-08-05,99.76,99.92,99.61,99.87,17109,16406
2011-08-08,99.86,99.91,99.36,99.4,28931,17661
2011-08-09,99.85,100.04,99.21,99.36,26145,17387
2011-08-10,99.32,100.51,99.27,100.51,29535,16711
2011-08-11,100.68,101.66,100.58,100.62,21569,15983
2011-08-12,100.56,101.17,100.25,100.74,15796,16303
2011-08-16,100.66,100.66,100.46,100.56,14877,15639
2011-08-17,100.67,100.77,100.35,100.56,12927,15361
2011-08-18,100.66,100.83,100.44,100.46,14892,15323
2011-08-19,101.19,101.43,100.61,101.37,8126,15796
2011-08-22,101.25,101.46,100.91,101.24,14637,15876
2011-08-23,100.78,101.5,100.78,100.93,14347,16005
2011-08-24,100.94,101.36,100.88,101.26,16478,16483
2011-08-25,100.76,101.4,100.76,101.33,15232,16171
2011-08-26,101.29,101.36,101.12,101.16,16180,14880
2011-08-29,101.13,101.28,100.96,101.03,13547,14803
2011-08-30,101.02,101.31,100.79,101.31,14048,14678
2011-08-31,101.4,101.5,101.08,101.1,10748,14514
2011-09-01,101.16,101.65,101.06,101.65,17746,14655
2011-09-02,101.65,101.86,101.51,101.8,14539,15197
2011-09-05,101.88,103.06,101.88,102.95,14447,15050
2011-09-06,103.13,103.25,102.79,102.96,18171,14470
2011-09-07,102.93,103.01,102.51,102.51,20133,12254
2011-09-08,102.55,103.15,102.49,103.03,13132,11896
2011-09-09,103.34,103.39,102.94,103.39,11423,11288
2011-09-14,103.36,103.93,103.2,103.71,13103,10920
2011-09-15,103.57,103.66,102.9,103.08,14957,10945
2011-09-16,103.04,103.04,102.5,102.56,8953,10041
2011-09-19,101.06,102.69,101.06,101.56,10469,5164
2011-09-20,101.56,101.81,101,101.31,11300,10341
2011-09-21,101.5,101.61,100.83,101.09,14706,10504
2011-09-22,100.75,101.51,100.64,101.36,13931,10002
