date,open,high,low,close,volume,openinterest
2008.2.25,77.17,77.17,76.99,77.05,212,110
2008.2.26,76.93,77.01,76.93,76.99,146,225
2008.2.27,77.05,77.09,77.05,77.09,10,230
2008.2.28,77.35,77.43,77.29,77.33,716,873
2008.2.29,77.79,77.79,77.69,77.69,286,942
2008.3.3,78.15,78.15,77.97,77.97,45,967
2008.3.4,77.83,77.93,77.83,77.83,60,987
2008.3.5,77.87,77.99,77.87,77.97,34,992
2008.3.6,77.89,77.89,77.53,77.55,35,992
2008.3.7,77.79,77.79,77.13,77.41,20,992
2008.3.10,77.35,77.35,76.69,76.69,240,892
2008.3.11,76.33,76.75,76.33,76.57,50,897
2008.3.12,76.33,77.57,76.33,76.83,170,912
2008.3.13,76.79,76.79,76.45,76.45,10,912
2008.3.14,76.63,76.83,76.21,76.83,40,922
2008.3.17,76.63,76.63,75.91,75.91,15,927
2008.3.18,76.07,77.17,75.97,77.09,35,922
2008.3.19,77.31,77.31,75.35,75.35,55,942
2008.3.20,75.67,75.67,75.33,75.63,30,942
2008.3.21,76.83,76.83,76.53,76.53,10,942
2008.3.24,75.83,75.83,75.75,75.81,25,947
2008.3.25,75.29,75.63,75.29,75.63,15,947
2008.3.26,76.31,76.31,75.93,75.93,55,947
2008.3.27,75.89,76.45,75.89,76.45,20,947
2008.3.28,77.03,77.07,76.91,76.91,15,947
2008.3.31,76.97,77.41,76.97,77.41,10,952
2008.4.1,77.47,77.89,77.27,77.27,60,942
2008.4.2,77.35,77.39,77.31,77.37,30,922
2008.4.3,77.43,77.43,77.37,77.37,25,902
2008.4.4,77.55,77.57,77.49,77.55,10,902
2008.4.7,77.53,77.53,77.53,77.53,5,897
2008.4.8,77.81,77.81,77.81,77.81,5,902
2008.4.10,78.65,78.65,78.65,78.65,5,897
2008.4.11,78.71,78.75,78.71,78.75,7,892
2008.4.14,78.75,78.75,78.75,78.75,0,892
2008.4.15,78.57,78.57,78.57,78.57,20,892
2008.4.16,78.69,78.69,78.63,78.63,10,900
2008.4.17,78.63,78.63,78.63,78.63,0,900
2008.4.18,78.63,78.63,78.63,78.63,0,900
2008.4.21,78.05,78.09,78.05,78.09,4,900
2008.4.22,78.25,78.25,78.25,78.25,5,905
2008.4.23,78.25,78.25,78.25,78.25,0,905
2008.4.24,78.25,78.25,78.25,78.25,5,900
2008.4.25,78.53,78.53,78.53,78.53,5,895
2008.4.28,78.53,78.53,78.53,78.53,0,895
2008.4.29,78.37,78.39,78.37,78.39,10,885
2008.4.30,78.39,78.39,78.39,78.39,0,885
2008.5.2,78.13,78.13,78.13,78.13,5,880
2008.5.6,78.13,78.13,78.13,78.13,0,880
2008.5.7,77.63,77.63,77.63,77.63,5,885
2008.5.8,77.05,77.05,77.05,77.05,5,880
2008.5.9,76.13,76.13,76.13,76.13,5,885
2008.5.13,75.93,75.93,75.93,75.93,5,890
2008.5.14,75.93,76.15,75.89,76.15,80,890
2008.5.15,76.23,76.33,76.17,76.21,220,885
2008.5.16,76.35,76.35,76.07,76.07,276,884
2008.5.19,75.91,75.93,73.87,74.71,305,874
2008.5.20,74.77,75.63,74.77,75.63,20,869
2008.5.21,75.23,75.67,75.17,75.17,90,844
2008.5.22,75.13,75.23,75.11,75.23,115,819
2008.5.23,75.11,75.21,74.81,74.81,230,814
2008.5.26,74.89,74.89,74.59,74.59,245,814
2008.5.27,74.65,74.65,74.55,74.59,278,771
2008.5.28,75.27,75.27,75.27,75.27,190,771
2008.5.29,74.61,74.79,74.53,74.53,262,768
2008.5.30,74.39,74.39,74.13,74.13,214,764
2008.6.2,74.13,74.13,74.13,74.13,455,764
2008.6.3,74.09,74.31,74.09,74.31,140,769
2008.6.4,74.15,74.15,74.13,74.15,105,764
2008.6.5,74.03,74.13,74.03,74.13,285,764
2008.6.9,73.89,73.91,73.33,73.33,407,762
2008.6.10,72.21,72.43,72.21,72.43,447,465
2008.6.11,72.43,72.87,72.43,72.87,17,460
2008.6.12,73.53,73.53,73.39,73.39,7,455
2008.6.13,73.23,73.23,73.13,73.13,10,455
2008.6.16,73.27,73.27,73.27,73.27,60,455
2008.6.17,73.27,73.27,73.27,73.27,0,0
2008.6.18,73.73,73.73,73.71,73.71,40,10
2008.6.19,73.51,73.51,72.51,73.51,395,10
2008.6.20,73.49,73.49,73.39,73.39,25,10
2008.6.23,70.93,70.93,70.93,70.93,5,10
2008.6.24,72.29,72.45,72.29,72.45,60,20
2008.6.25,72.43,72.53,71.81,72.53,175,30
2008.6.26,72.63,73.05,72.63,72.85,200,33
2008.6.27,72.91,72.91,72.91,72.91,4,33
2008.6.30,72.91,72.91,72.91,72.91,0,33
2008.7.1,72.05,72.05,72.05,72.05,0,33
2008.7.2,72.05,72.05,72.05,72.05,0,33
2008.7.3,72.05,72.05,72.05,72.05,0,33
2008.7.4,71.05,71.05,71.05,71.05,0,33
2008.7.7,71.05,71.05,71.05,71.05,0,33
2008.7.8,71.05,71.05,71.05,71.05,0,33
2008.7.9,71.05,71.05,71.05,71.05,0,33
2008.7.10,71.89,71.89,71.89,71.89,0,33
2008.7.11,71.89,71.89,71.89,71.89,0,33
2008.7.14,71.89,71.89,71.89,71.89,0,33
2008.7.15,71.89,71.89,71.89,71.89,0,33
2008.7.16,71.89,71.89,71.89,71.89,0,33
2008.7.17,71.89,71.89,71.89,71.89,0,33
2008.7.18,72.79,72.79,72.79,72.79,0,33
2008.7.21,72.79,72.79,72.79,72.79,0,33
2008.7.22,71.83,71.83,71.83,71.83,0,33
2008.7.23,72.83,72.83,72.83,72.83,0,33
2008.7.24,72.83,72.83,72.83,72.83,0,33
2008.7.25,72.83,72.83,72.83,72.83,0,33
2008.7.28,72.83,72.83,72.83,72.83,0,33
2008.7.29,72.83,72.83,72.83,72.83,0,33
2008.7.30,72.83,72.83,72.83,72.83,0,33
2008.7.31,72.83,72.83,72.83,72.83,0,33
2008.8.1,72.83,72.83,72.83,72.83,0,33
2008.8.4,72.83,72.83,72.83,72.83,0,33
2008.8.5,72.83,72.83,72.83,72.83,0,33
2008.8.6,72.83,72.83,72.83,72.83,0,33
2008.8.7,73.83,73.83,73.83,73.83,0,33
2008.8.8,73.83,73.83,73.83,73.83,0,33
2008.8.11,73.83,73.83,73.83,73.83,0,33
2008.8.12,73.83,73.83,73.83,73.83,0,33
2008.8.13,73.83,73.83,73.83,73.83,0,33
2008.8.14,73.83,73.83,73.83,73.83,0,33
2008.8.18,72.67,72.67,72.67,72.67,0,33
2008.8.19,72.67,72.67,72.67,72.67,0,33
