,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2018-01-02 06:30:00+00:00,,0.0,,-0.002474022761009498,,,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"[{'reason': None, 'status': 0, 'limit': None, 'stop_reached': False, 'amount': 8, 'commission': 0, 'sid': Equity(1 [LKTB]), 'created': Timestamp('2018-01-02 06:30:00+0000', tz='UTC'), 'id': 'df51180cce59490897503d219db236a8', 'limit_reached': False, 'dt': Timestamp('2018-01-02 06:30:00+0000', tz='UTC'), 'stop': None, 'filled': 0}]",2018-01-02 06:30:00+00:00,2018-01,2018-01-02 00:01:00+00:00,0.0,1000.0,[],120.96000000000001,0.0,,0.0,0.0,0,,1000.0,0.0,0.0,1,[],0.0
2018-01-03 06:30:00+00:00,0.005427049540072179,-0.0004834799999999806,-0.1742380019578476,-0.003216229589312225,0.01941892280657154,-0.2794722237752351,-967.44348,32.55651999999998,966.96,966.96,0.0,0.967427731959848,966.96,966.96,1,-0.00048348000000004277,0.967427731959848,0.967427731959848,"[{'reason': None, 'status': 1, 'limit': None, 'stop_reached': False, 'amount': 8, 'commission': 0, 'sid': Equity(1 [LKTB]), 'created': Timestamp('2018-01-02 06:30:00+0000', tz='UTC'), 'id': 'df51180cce59490897503d219db236a8', 'limit_reached': False, 'dt': Timestamp('2018-01-03 06:30:00+0000', tz='UTC'), 'stop': None, 'filled': 8}]",2018-01-03 06:30:00+00:00,2018-01,2018-01-03 00:01:00+00:00,-0.4834799999999859,999.51652,"[{'sid': Equity(1 [LKTB]), 'amount': 8, 'last_sale_price': 120.87, 'cost_basis': 120.930435}]",120.87,-0.0004834799999999806,-11.224972160321824,0.0,0.0,0,-11.224972160321823,1000.0,0.0,0.0,2,"[{'sid': Equity(1 [LKTB]), 'order_id': 'df51180cce59490897503d219db236a8', 'price': 120.930435, 'amount': 8, 'dt': Timestamp('2018-01-03 06:30:00+0000', tz='UTC'), 'commission': None}]",0.0
2018-01-04 06:30:00+00:00,0.018004439378065396,-0.0026434799999999203,-0.1227574612497853,-0.00544285007422074,0.014877352149962537,0.217012754299042,0.0,32.55651999999998,964.8000000000001,964.8000000000001,0.0,0.9673571893829902,964.8000000000001,964.8000000000001,1,-0.0026434799999999824,0.967427731959848,0.9673571893829902,[],2018-01-04 06:30:00+00:00,2018-01,2018-01-04 00:01:00+00:00,-2.159999999999968,997.35652,"[{'sid': Equity(1 [LKTB]), 'amount': 8, 'last_sale_price': 120.60000000000001, 'cost_basis': 120.930435}]",120.60000000000001,-0.002161044821950453,-12.338072870764705,0.0,0.0,0,-10.945054318841164,32.55651999999998,966.96,966.96,3,[],0.0
2018-01-05 06:30:00+00:00,0.022133684716785975,-0.0014434800000000525,0.06514353497254029,-0.004205838693716046,0.027163902434847172,0.5882398266756748,0.0,32.55651999999998,966.0,966.0,0.0,0.9673964173805605,966.0,966.0,1,-0.0026434799999999824,0.967427731959848,0.9673964173805605,[],2018-01-05 06:30:00+00:00,2018-01,2018-01-05 00:01:00+00:00,1.1999999999999318,998.55652,"[{'sid': Equity(1 [LKTB]), 'amount': 8, 'last_sale_price': 120.75, 'cost_basis': 120.930435}]",120.75,0.0012031805838095266,-4.102556269540234,0.0,0.0,0,-5.166169148340523,32.55651999999998,964.8000000000001,964.8000000000001,4,[],0.0
2018-01-08 06:30:00+00:00,0.022737452747384486,-0.0035234799999999122,0.042092491851647505,-0.006349991753257567,0.024789588990601737,0.6853186043314409,0.0,32.55651999999998,963.9200000000001,963.9200000000001,0.0,0.967328362137424,963.9200000000001,963.9200000000001,1,-0.003523479999999921,0.967427731959848,0.967328362137424,[],2018-01-08 06:30:00+00:00,2018-01,2018-01-08 00:01:00+00:00,-2.0799999999999272,996.47652,"[{'sid': Equity(1 [LKTB]), 'amount': 8, 'last_sale_price': 120.49000000000001, 'cost_basis': 120.930435}]",120.49000000000001,-0.0020830067786247186,-7.812101611312648,0.0,0.0,0,-8.229870516367884,32.55651999999998,966.0,966.0,5,[],0.0
2018-01-09 06:30:00+00:00,0.02392473629125858,-0.006163479999999999,0.04063978983690375,-0.009071416790367937,0.024123681121905126,0.7847479032039131,0.0,32.55651999999998,961.28,961.28,0.0,0.9672415740971161,961.28,961.28,1,-0.0061634800000000215,0.967427731959848,0.9672415740971161,[],2018-01-09 06:30:00+00:00,2018-01,2018-01-09 00:01:00+00:00,-2.6400000000001,993.83652,"[{'sid': Equity(1 [LKTB]), 'amount': 8, 'last_sale_price': 120.16, 'cost_basis': 120.930435}]",120.16,-0.002649334878457643,-10.837937958551974,0.0,0.0,0,-9.921684184917183,32.55651999999998,963.9200000000001,963.9200000000001,6,[],0.0
2018-01-10 06:30:00+00:00,0.0329985598638191,-0.011283480000000012,0.07996561861927753,-0.014349332013854688,0.0317397983559512,0.9390250753263946,0.0,32.55651999999998,956.16,956.16,0.0,0.9670719368580997,956.16,956.16,1,-0.011283480000000026,0.967427731959848,0.9670719368580997,[],2018-01-10 06:30:00+00:00,2018-01,2018-01-10 00:01:00+00:00,-5.1200000000000045,988.71652,"[{'sid': Equity(1 [LKTB]), 'amount': 8, 'last_sale_price': 119.52, 'cost_basis': 120.930435}]",119.52,-0.005151752724884773,-12.355563152043034,0.0,0.0,0,-10.386581782146006,32.55651999999998,961.28,961.28,7,[],0.0
2018-01-11 06:30:00+00:00,0.041544902203892044,-0.007923479999999983,0.06590737751969358,-0.01088570014844148,0.0429246467238526,0.9181744909672612,0.0,32.55651999999998,959.52,959.52,0.0,0.9671834587920698,959.52,959.52,1,-0.011283480000000026,0.967427731959848,0.9671834587920698,[],2018-01-11 06:30:00+00:00,2018-01,2018-01-11 00:01:00+00:00,3.3600000000000136,992.07652,"[{'sid': Equity(1 [LKTB]), 'amount': 8, 'last_sale_price': 119.94, 'cost_basis': 120.930435}]",119.94,0.003398345159641991,-6.010447269299088,0.0,0.0,0,-6.800418174868987,32.55651999999998,956.16,956.16,8,[],0.0
2018-01-12 06:30:00+00:00,0.03923842532211661,-0.009923479999999985,0.05736501223239457,-0.012947385782616005,0.04033284629623853,0.9226837865861517,0.0,32.55651999999998,957.52,957.52,0.0,0.9671171678730448,957.52,957.52,1,-0.011283480000000026,0.967427731959848,0.9671171678730448,[],2018-01-12 06:30:00+00:00,2018-01,2018-01-12 00:01:00+00:00,-2.0,990.07652,"[{'sid': Equity(1 [LKTB]), 'amount': 8, 'last_sale_price': 119.69, 'cost_basis': 120.930435}]",119.69,-0.002015973525913095,-7.095235686272393,0.0,0.0,0,-7.68543191845379,32.55651999999998,959.52,959.52,9,[],0.0
2018-01-15 06:30:00+00:00,0.03938685817073785,-0.01368347999999997,0.05393194858137849,-0.016823354774864074,0.04001652240541722,0.9383949590512037,0.0,32.55651999999998,953.76,953.76,0.0,0.9669918131351992,953.76,953.76,1,-0.013683479999999975,0.967427731959848,0.9669918131351992,[],2018-01-15 06:30:00+00:00,2018-01,2018-01-15 00:01:00+00:00,-3.759999999999991,986.31652,"[{'sid': Equity(1 [LKTB]), 'amount': 8, 'last_sale_price': 119.22, 'cost_basis': 120.930435}]",119.22,-0.0037976862636839304,-8.791434452592258,0.0,0.0,0,-8.810893373111531,32.55651999999998,957.52,957.52,10,[],0.0
