,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2019-01-02 06:30:00+00:00,,0.0,,0.0007292616226071136,,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"[{'created': Timestamp('2019-01-02 06:30:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'bcbf974c765b4a2ab871fd834aeebac7', 'stop_reached': False, 'dt': Timestamp('2019-01-02 06:30:00+0000', tz='UTC'), 'filled': 0, 'commission': 0, 'amount': 1, 'limit': None, 'stop': None, 'sid': Equity(1 [LKTB]), 'reason': None, 'status': 0}]",2019-01-02 06:30:00+00:00,2019-01,2019-01-02 00:01:00+00:00,0.0,10000.0,[],127.79,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,1,[],0.0
2019-01-03 06:30:00+00:00,0.0,0.0,0.0,0.00045578851412941823,0.011253432437131715,0.0,-127.64,9872.36,127.64,127.64,0.0,0.012764,127.64,127.64,1,0.0,0.012764,0.012764,"[{'created': Timestamp('2019-01-02 06:30:00+0000', tz='UTC'), 'limit_reached': False, 'id': 'bcbf974c765b4a2ab871fd834aeebac7', 'stop_reached': False, 'dt': Timestamp('2019-01-03 06:30:00+0000', tz='UTC'), 'filled': 1, 'commission': 0, 'amount': 1, 'limit': None, 'stop': None, 'sid': Equity(1 [LKTB]), 'reason': None, 'status': 1}]",2019-01-03 06:30:00+00:00,2019-01,2019-01-03 00:01:00+00:00,0.0,10000.0,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.64, 'amount': 1}]",127.64,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,2,"[{'commission': None, 'price': 127.64, 'sid': Equity(1 [LKTB]), 'dt': Timestamp('2019-01-03 06:30:00+0000', tz='UTC'), 'amount': 1, 'order_id': 'bcbf974c765b4a2ab871fd834aeebac7'}]",0.0
2019-01-04 06:30:00+00:00,6.415605972919154e-05,-6.999999999979245e-06,-0.00030204988367148834,0.0010938924339105593,0.00879930836337691,-0.003112237059278766,0.0,9872.36,127.57000000000001,127.57000000000001,0.0,0.012757089299625098,127.57000000000001,127.57000000000001,1,-6.999999999948159e-06,0.012764,0.012757089299625098,[],2019-01-04 06:30:00+00:00,2019-01,2019-01-04 00:01:00+00:00,-0.06999999999970896,9999.93,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.57000000000001, 'amount': 1}]",127.57000000000001,-6.999999999979245e-06,-9.16515138991168,0.0,0.0,0,-9.16515138991168,9872.36,127.64,127.64,3,[],0.0
2019-01-07 06:30:00+00:00,0.00011336740087761566,-2.199999999985547e-05,-0.0015973201091676226,0.0006381039197811411,0.009693733613476765,0.005253135606772025,0.0,9872.36,127.42,127.42,0.0,0.012742280330167263,127.42,127.42,1,-2.1999999999877674e-05,0.012764,0.012742280330167263,[],2019-01-07 06:30:00+00:00,2019-01,2019-01-07 00:01:00+00:00,-0.1499999999996362,9999.78,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.42, 'amount': 1}]",127.42,-1.5000105000662067e-05,-12.225795107860403,0.0,0.0,0,-10.549144724911988,9872.36,127.57000000000001,127.57000000000001,4,[],0.0
2019-01-08 06:30:00+00:00,0.00013234270508424503,-3.999999999992898e-05,-0.002094079273455582,0.00018231540565172288,0.00946291043682036,0.008462205611299707,0.0,9872.36,127.24000000000001,127.24000000000001,0.0,0.012724508980359215,127.24000000000001,127.24000000000001,1,-3.9999999999906775e-05,0.012764,0.012724508980359215,[],2019-01-08 06:30:00+00:00,2019-01,2019-01-08 00:01:00+00:00,-0.18000000000029104,9999.6,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.24000000000001, 'amount': 1}]",127.24000000000001,-1.8000396008743813e-05,-15.23336892343008,0.0,0.0,0,-11.61244811516077,9872.36,127.42,127.42,5,[],0.0
2019-01-09 06:30:00+00:00,0.00014529281160549626,-3.4999999999896225e-05,-0.0015328638973838712,0.00018231540565172288,0.008467207831683952,0.008176802085201067,0.0,9872.36,127.29,127.29,0.0,0.01272944553059357,127.29,127.29,1,-3.9999999999906775e-05,0.012764,0.01272944553059357,[],2019-01-09 06:30:00+00:00,2019-01,2019-01-09 00:01:00+00:00,0.050000000001091394,9999.650000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.29, 'amount': 1}]",127.29,5.00020000804291e-06,-10.117586863469882,0.0,0.0,0,-9.275546605247781,9872.36,127.24000000000001,127.24000000000001,6,[],0.0
2019-01-10 06:30:00+00:00,0.0002132658230458586,-1.2999999999929734e-05,-0.0009120468137562567,0.000820419325433086,0.008545762934259049,0.015024480472406723,0.0,9872.36,127.51,127.51,0.0,0.012751165765154946,127.51,127.51,1,-3.9999999999906775e-05,0.012764,0.012751165765154946,[],2019-01-10 06:30:00+00:00,2019-01,2019-01-10 00:01:00+00:00,0.21999999999934516,9999.87,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.51, 'amount': 1}]",127.51,2.2000770026897598e-05,-2.1943652686411723,0.0,0.0,0,-3.189495699775084,9872.36,127.29,127.29,7,[],0.0
2019-01-11 06:30:00+00:00,0.000242690426731585,-3.999999999992898e-05,-0.0015320293977114496,0.00045578851412941823,0.008360849139396971,0.018910816539436524,0.0,9872.36,127.24000000000001,127.24000000000001,0.0,0.012724508980359215,127.24000000000001,127.24000000000001,1,-3.9999999999906775e-05,0.012764,0.012724508980359215,[],2019-01-11 06:30:00+00:00,2019-01,2019-01-11 00:01:00+00:00,-0.27000000000043656,9999.6,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.24000000000001, 'amount': 1}]",127.24000000000001,-2.7000351004558e-05,-5.191784032470862,0.0,0.0,0,-6.162721975703934,9872.36,127.51,127.51,8,[],0.0
2019-01-14 06:30:00+00:00,0.00031038591455997803,-4.999999999810711e-06,-0.0007640197366660029,0.0009115770282588365,0.008100137449249784,0.02443185061413462,0.0,9872.36,127.59,127.59,0.0,0.012759063795318977,127.59,127.59,1,-3.9999999999906775e-05,0.012764,0.012759063795318977,[],2019-01-14 06:30:00+00:00,2019-01,2019-01-14 00:01:00+00:00,0.3500000000003638,9999.95,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.59, 'amount': 1}]",127.59,3.5001400056078324e-05,-0.4509144496466357,0.0,0.0,0,-0.7260653812630338,9872.36,127.24000000000001,127.24000000000001,9,[],0.0
2019-01-15 06:30:00+00:00,0.0002973932599261378,5.000000000254801e-06,-0.0004225536948688045,0.0009115770282588365,0.007653815097242707,0.023863622791174714,0.0,9872.36,127.69,127.69,0.0,0.012768936155319223,127.69,127.69,1,-3.9999999999906775e-05,0.012768936155319223,0.012768936155319223,[],2019-01-15 06:30:00+00:00,2019-01,2019-01-15 00:01:00+00:00,0.1000000000003638,10000.050000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.69, 'amount': 1}]",127.69,1.0000050000291694e-05,0.42381429754313327,0.0,0.0,0,0.6892313820204428,9872.36,127.59,127.59,10,[],0.0
