,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2019-01-02 06:30:00+00:00,,0.0,,0.00031311154598823165,,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"[{'sid': Equity(1 [LKTB]), 'dt': Timestamp('2019-01-02 06:30:00+0000', tz='UTC'), 'filled': 0, 'amount': 78, 'id': 'a8f450d0eb4a4208b96d5d6d15561230', 'reason': None, 'stop': None, 'limit_reached': False, 'created': Timestamp('2019-01-02 06:30:00+0000', tz='UTC'), 'commission': 0, 'limit': None, 'stop_reached': False, 'status': 0}]",2019-01-02 06:30:00+00:00,2019-01,2019-01-02 00:01:00+00:00,0.0,10000.0,[],127.79,0.0,,0.0,0.0,0,,10000.0,0.0,0.0,1,[],0.0
2019-01-03 06:30:00+00:00,0.005587746241519505,-0.0004977959999999948,-0.02641591558356952,-0.0008610567514677481,0.01669054931682185,0.33478504125012837,-9960.89796,39.10203999999976,9955.92,9955.92,0.0,0.9960878485466551,9955.92,9955.92,1,-0.0004977959999999371,0.9960878485466551,0.9960878485466551,"[{'sid': Equity(1 [LKTB]), 'dt': Timestamp('2019-01-03 06:30:00+0000', tz='UTC'), 'filled': 78, 'amount': 78, 'id': 'a8f450d0eb4a4208b96d5d6d15561230', 'reason': None, 'stop': None, 'limit_reached': False, 'created': Timestamp('2019-01-02 06:30:00+0000', tz='UTC'), 'commission': 0, 'limit': None, 'stop_reached': False, 'status': 1}]",2019-01-03 06:30:00+00:00,2019-01,2019-01-03 00:01:00+00:00,-4.9779600000001665,9995.02204,"[{'cost_basis': 127.70382000000001, 'amount': 78, 'last_sale_price': 127.64, 'sid': Equity(1 [LKTB])}]",127.64,-0.0004977959999999948,-11.224972160321824,0.0,0.0,0,-11.224972160321823,10000.0,0.0,0.0,2,"[{'amount': 78, 'dt': Timestamp('2019-01-03 06:30:00+0000', tz='UTC'), 'price': 127.70382000000001, 'commission': None, 'sid': Equity(1 [LKTB]), 'order_id': 'a8f450d0eb4a4208b96d5d6d15561230'}]",0.0
2019-01-04 06:30:00+00:00,0.004799966612937951,-0.0010437959999999302,-0.045919807937912206,-0.0014090019569471535,0.011851509530433155,0.3529921270114951,0.0,39.10203999999976,9950.460000000001,9950.460000000001,0.0,0.9960857102800474,9950.460000000001,9950.460000000001,1,-0.0010437959999998725,0.9960878485466551,0.9960857102800474,[],2019-01-04 06:30:00+00:00,2019-01,2019-01-04 00:01:00+00:00,-5.459999999999127,9989.56204,"[{'cost_basis': 127.70382000000001, 'amount': 78, 'last_sale_price': 127.57000000000001, 'sid': Equity(1 [LKTB])}]",127.57000000000001,-0.0005462719319825338,-18.27131589835209,0.0,0.0,0,-12.947533202395647,39.10203999999976,9955.92,9955.92,3,[],0.0
2019-01-07 06:30:00+00:00,0.0076192022095881405,-0.0022137959999999346,-0.04882826034163796,-0.002583170254403022,0.011182631480469298,0.5571670260614161,0.0,39.10203999999976,9938.76,9938.76,0.0,0.9960811204000171,9938.76,9938.76,1,-0.002213795999999917,0.9960878485466551,0.9960811204000171,[],2019-01-07 06:30:00+00:00,2019-01,2019-01-07 00:01:00+00:00,-11.700000000000728,9977.86204,"[{'cost_basis': 127.70382000000001, 'amount': 78, 'last_sale_price': 127.42, 'sid': Equity(1 [LKTB])}]",127.42,-0.0011712225173787782,-18.317311244756493,0.0,0.0,0,-12.69636379945546,39.10203999999976,9950.460000000001,9950.460000000001,4,[],0.0
2019-01-08 06:30:00+00:00,0.008957445254406688,-0.0036177959999998954,-0.04342679739392314,-0.003992172211350287,0.011108250682489338,0.6906080192025423,0.0,39.10203999999976,9924.720000000001,9924.720000000001,0.0,0.9960755983152827,9924.720000000001,9924.720000000001,1,-0.003617795999999913,0.9960878485466551,0.9960755983152827,[],2019-01-08 06:30:00+00:00,2019-01,2019-01-08 00:01:00+00:00,-14.039999999999054,9963.822040000001,"[{'cost_basis': 127.70382000000001, 'amount': 78, 'last_sale_price': 127.24000000000001, 'sid': Equity(1 [LKTB])}]",127.24000000000001,-0.001407115065703901,-20.381842453289913,0.0,0.0,0,-13.025495863002273,39.10203999999976,9938.76,9938.76,5,[],0.0
2019-01-09 06:30:00+00:00,0.010792968674436548,-0.003227795999999783,-0.017155737025621398,-0.003600782778864886,0.012587232375863807,0.783027322017643,0.0,39.10203999999976,9928.62,9928.62,0.0,0.9960771337881328,9928.62,9928.62,1,-0.003617795999999913,0.9960878485466551,0.9960771337881328,[],2019-01-09 06:30:00+00:00,2019-01,2019-01-09 00:01:00+00:00,3.899999999999636,9967.72204,"[{'cost_basis': 127.70382000000001, 'amount': 78, 'last_sale_price': 127.29, 'sid': Equity(1 [LKTB])}]",127.29,0.0003914160634688191,-12.573144707485469,0.0,0.0,0,-10.605767836271598,39.10203999999976,9924.720000000001,9924.720000000001,6,[],0.0
2019-01-10 06:30:00+00:00,0.01676174332959786,-0.0015117959999997321,0.0061003082305861175,-0.00187866927592939,0.01809206291163411,0.8947911475321869,0.0,39.10203999999976,9945.78,9945.78,0.0,0.996083875618825,9945.78,9945.78,1,-0.003617795999999913,0.9960878485466551,0.996083875618825,[],2019-01-10 06:30:00+00:00,2019-01,2019-01-10 00:01:00+00:00,17.159999999999854,9984.88204,"[{'cost_basis': 127.70382000000001, 'amount': 78, 'last_sale_price': 127.51, 'sid': Equity(1 [LKTB])}]",127.51,0.001721556834263449,-3.241880820835212,0.0,0.0,0,-4.587191929209361,39.10203999999976,9928.62,9928.62,7,[],0.0
2019-01-11 06:30:00+00:00,0.01880862450735329,-0.0036177959999996734,0.003086636570154862,-0.003992172211350176,0.01970547708220821,0.9306021553485773,0.0,39.10203999999976,9924.720000000001,9924.720000000001,0.0,0.9960755983152827,9924.720000000001,9924.720000000001,1,-0.003617795999999913,0.9960878485466551,0.9960755983152827,[],2019-01-11 06:30:00+00:00,2019-01,2019-01-11 00:01:00+00:00,-21.05999999999949,9963.822040000001,"[{'cost_basis': 127.70382000000001, 'amount': 78, 'last_sale_price': 127.24000000000001, 'sid': Equity(1 [LKTB])}]",127.24000000000001,-0.0021091886629839296,-6.06033526191232,0.0,0.0,0,-7.0297995385332035,39.10203999999976,9945.78,9945.78,8,[],0.0
2019-01-14 06:30:00+00:00,0.02439005789493039,-0.0008877959999996632,0.008622964255443892,-0.0012524461839527046,0.025209215961739407,0.9546365823495533,0.0,39.10203999999976,9952.02,9952.02,0.0,0.9960863214518397,9952.02,9952.02,1,-0.003617795999999913,0.9960878485466551,0.9960863214518397,[],2019-01-14 06:30:00+00:00,2019-01,2019-01-14 00:01:00+00:00,27.299999999999272,9991.12204,"[{'cost_basis': 127.70382000000001, 'amount': 78, 'last_sale_price': 127.59, 'sid': Equity(1 [LKTB])}]",127.59,0.0027399124442812894,-1.0087654369246202,0.0,0.0,0,-1.6094168368045831,39.10203999999976,9924.720000000001,9924.720000000001,9,[],0.0
2019-01-15 06:30:00+00:00,0.023414065818915208,-0.0001077959999997713,0.0085785377909237,-0.0004696673189820144,0.024213826993578002,0.9545679773265705,0.0,39.10203999999976,9959.82,9959.82,0.0,0.9960893744502083,9959.82,9959.82,1,-0.003617795999999913,0.9960893744502083,0.9960893744502083,[],2019-01-15 06:30:00+00:00,2019-01,2019-01-15 00:01:00+00:00,7.799999999999272,9998.92204,"[{'cost_basis': 127.70382000000001, 'amount': 78, 'last_sale_price': 127.69, 'sid': Equity(1 [LKTB])}]",127.69,0.000780693096207985,-0.10549200052474395,0.0,0.0,0,-0.17031018623796768,39.10203999999976,9952.02,9952.02,10,[],0.0
