DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,OPENINTEREST
2012-01-02,102.04,102.04,101.83,101.93,16395,13508
2012-01-03,101.84,101.93,101.68,101.81,21500,12965
2012-01-04,101.76,101.82,101.7,101.74,30370,12545
2012-01-05,101.79,101.93,101.71,101.9,24668,12147
2012-01-06,101.91,102.03,101.72,101.86,26846,12288
2012-01-09,101.84,101.98,101.77,101.79,27064,12280
2012-01-10,101.82,101.89,101.76,101.81,19797,11810
2012-01-11,101.82,101.85,101.72,101.84,17209,12005
2012-01-12,101.85,101.91,101.85,101.86,20913,12574
2012-01-13,101.82,101.99,101.74,101.8,23145,13822
2012-01-16,101.88,101.92,101.81,101.85,20448,12936
2012-01-17,101.84,101.87,101.67,101.68,19438,13055
2012-01-18,101.76,101.91,101.71,101.79,25749,12744
2012-01-19,101.82,101.86,101.77,101.81,19607,13407
2012-01-20,101.77,101.77,101.51,101.59,19526,13028
2012-01-25,101.63,101.72,101.54,101.54,22045,12461
2012-01-26,101.64,101.71,101.5,101.5,19645,13214
2012-01-27,101.59,101.71,101.59,101.71,22976,12947
2012-01-30,101.8,102.02,101.75,102.02,23526,12949
2012-01-31,102.09,102.16,101.91,102.01,34896,12241
2012-02-01,102.14,102.23,102.09,102.14,25743,13277
2012-02-02,102.07,102.1,102.01,102.01,30795,13390
2012-02-03,101.99,102.13,101.92,101.92,36981,12824
2012-02-06,101.77,101.9,101.77,101.9,27311,14874
2012-02-07,101.91,101.95,101.65,101.68,30737,15029
2012-02-08,101.66,101.66,101.43,101.49,36895,15625
2012-02-09,101.57,101.77,101.42,101.56,35231,15488
2012-02-10,101.54,101.67,101.47,101.63,34989,15025
2012-02-13,101.69,101.69,101.4,101.43,25885,14551
2012-02-14,101.49,101.61,101.46,101.54,38153,15153
2012-02-15,101.62,101.64,101.47,101.47,38259,16110
2012-02-16,101.6,101.65,101.55,101.62,49861,15856
2012-02-17,101.49,101.52,101.41,101.44,40160,16117
2012-02-20,101.38,101.4,101.21,101.31,45453,16194
2012-02-21,101.34,101.54,101.34,101.35,62365,16594
2012-02-22,101.37,101.44,101.29,101.33,44015,16683
