,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2019-01-02 00:00:00+00:00,,0.0,,0.0007292616226071136,,,0.0,127.64,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,"[{'created': Timestamp('2019-01-02 06:30:00+0000', tz='UTC'), 'limit_reached': False, 'id': '75d6d9fb17a9418da6dd098bdcb39d69', 'stop_reached': False, 'dt': Timestamp('2019-01-02 06:30:00+0000', tz='UTC'), 'filled': 0, 'commission': 0, 'amount': 1, 'limit': None, 'stop': None, 'sid': Equity(1 [LKTB]), 'reason': None, 'status': 0}]",2019-01-02 06:30:00+00:00,2019-01,2019-01-02 00:01:00+00:00,0.0,127.64,[],127.79,0.0,,0.0,0.0,0,,127.64,0.0,0.0,1,[],0.0
2019-01-03 00:00:00+00:00,0.0,0.0,0.0,0.00045578851412941823,0.011253432437131715,0.0,-127.64,0.0,127.64,127.64,0.0,1.0,127.64,127.64,1,0.0,1.0,1.0,"[{'created': Timestamp('2019-01-02 06:30:00+0000', tz='UTC'), 'limit_reached': False, 'id': '75d6d9fb17a9418da6dd098bdcb39d69', 'stop_reached': False, 'dt': Timestamp('2019-01-03 06:30:00+0000', tz='UTC'), 'filled': 1, 'commission': 0, 'amount': 1, 'limit': None, 'stop': None, 'sid': Equity(1 [LKTB]), 'reason': None, 'status': 1}]",2019-01-03 06:30:00+00:00,2019-01,2019-01-03 00:01:00+00:00,0.0,127.64,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.64, 'amount': 1}]",127.64,0.0,,0.0,0.0,0,,127.64,0.0,0.0,2,"[{'commission': None, 'price': 127.64, 'sid': Equity(1 [LKTB]), 'dt': Timestamp('2019-01-03 06:30:00+0000', tz='UTC'), 'amount': 1, 'order_id': '75d6d9fb17a9418da6dd098bdcb39d69'}]",0.0
2019-01-04 00:00:00+00:00,0.005026328715870384,-0.00054841742400491,-0.0236642027320845,0.0010938924339105593,0.00879930836337691,-0.24382929013533397,0.0,0.0,127.57000000000001,127.57000000000001,0.0,1.0,127.57000000000001,127.57000000000001,1,-0.000548417424004981,1.0,1.0,[],2019-01-04 06:30:00+00:00,2019-01,2019-01-04 00:01:00+00:00,-0.06999999999999318,127.57000000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.57000000000001, 'amount': 1}]",127.57000000000001,-0.00054841742400491,-9.165151389911681,0.0,0.0,0,-9.16515138991168,0.0,127.64,127.64,3,[],0.0
2019-01-07 00:00:00+00:00,0.008886289806199732,-0.0017235976183013202,-0.1251967806352293,0.0006381039197811411,0.009693733613476765,0.4119086672312887,0.0,0.0,127.42,127.42,0.0,1.0,127.42,127.42,1,-0.001723597618301369,1.0,1.0,[],2019-01-07 06:30:00+00:00,2019-01,2019-01-07 00:01:00+00:00,-0.15000000000000568,127.42,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.42, 'amount': 1}]",127.42,-0.001175825037234457,-12.224142744286116,0.0,0.0,0,-10.54834851758578,0.0,127.57000000000001,127.57000000000001,4,[],0.0
2019-01-08 00:00:00+00:00,0.010382004111347246,-0.003133813851457057,-0.1642243121982186,0.00018231540565172288,0.00946291043682036,0.6640269770546513,0.0,0.0,127.24000000000001,127.24000000000001,0.0,1.0,127.24000000000001,127.24000000000001,1,-0.0031338138514570347,1.0,1.0,[],2019-01-08 06:30:00+00:00,2019-01,2019-01-08 00:01:00+00:00,-0.1799999999999926,127.24000000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.24000000000001, 'amount': 1}]",127.24000000000001,-0.0014126510751844013,-15.228219189680301,0.0,0.0,0,-11.610622639302447,0.0,127.42,127.42,5,[],0.0
2019-01-09 00:00:00+00:00,0.011399757784986869,-0.002742087120024994,-0.12017717142838251,0.00018231540565172288,0.008467207831683952,0.6416270040206478,0.0,0.0,127.29,127.29,0.0,1.0,127.29,127.29,1,-0.0031338138514570347,1.0,1.0,[],2019-01-09 06:30:00+00:00,2019-01,2019-01-09 00:01:00+00:00,0.04999999999999716,127.29,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.29, 'amount': 1}]",127.29,0.0003929581892485601,-10.109450284385273,0.0,0.0,0,-9.271264730419134,0.0,127.24000000000001,127.24000000000001,6,[],0.0
2019-01-10 00:00:00+00:00,0.016741303849582015,-0.0010184895017234519,-0.0714204575308404,0.000820419325433086,0.008545762934259049,1.1794187381599008,0.0,0.0,127.51,127.51,0.0,1.0,127.51,127.51,1,-0.0031338138514570347,1.0,1.0,[],2019-01-10 06:30:00+00:00,2019-01,2019-01-10 00:01:00+00:00,0.21999999999999886,127.51,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.51, 'amount': 1}]",127.51,0.0017283368685678813,-2.1839126485226905,0.0,0.0,0,-3.176974687216288,0.0,127.29,127.29,7,[],0.0
2019-01-11 00:00:00+00:00,0.019046740884545315,-0.003133813851456946,-0.12004234453867939,0.00045578851412941823,0.008360849139396971,1.4842030950367207,0.0,0.0,127.24000000000001,127.24000000000001,0.0,1.0,127.24000000000001,127.24000000000001,1,-0.0031338138514570347,1.0,1.0,[],2019-01-11 06:30:00+00:00,2019-01,2019-01-11 00:01:00+00:00,-0.269999999999996,127.24000000000001,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.24000000000001, 'amount': 1}]",127.24000000000001,-0.0021174809818836904,-5.181569046573556,0.0,0.0,0,-6.154765333845736,0.0,127.51,127.51,8,[],0.0
2019-01-14 00:00:00+00:00,0.024370306977331058,-0.0003917267314319517,-0.059697959369942676,0.0009115770282588365,0.008100137449249784,1.9180041572262072,0.0,0.0,127.59,127.59,0.0,1.0,127.59,127.59,1,-0.0031338138514570347,1.0,1.0,[],2019-01-14 06:30:00+00:00,2019-01,2019-01-14 00:01:00+00:00,0.3499999999999943,127.59,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.59, 'amount': 1}]",127.59,0.0027507073247405867,-0.4393223200253911,0.0,0.0,0,-0.7081904485606338,0.0,127.24000000000001,127.24000000000001,9,[],0.0
2019-01-15 00:00:00+00:00,0.02334791777748513,0.0003917267314323958,-0.032954319384786,0.0009115770282588365,0.007653815097242707,1.873500521529939,0.0,0.0,127.69,127.69,0.0,1.0,127.69,127.69,1,-0.0031338138514570347,1.0,1.0,[],2019-01-15 06:30:00+00:00,2019-01,2019-01-15 00:01:00+00:00,0.09999999999999432,127.69,"[{'cost_basis': 127.64, 'sid': Equity(1 [LKTB]), 'last_sale_price': 127.69, 'amount': 1}]",127.69,0.0007837604827964917,0.43322862629381137,0.0,0.0,0,0.7052609585099551,0.0,127.59,127.59,10,[],0.0
